tracking_id,law_id,risk_rating,internal_owner_dept,compliance_status,enforcement_grace_period_end,product_applicability_tags,technical_spec_ref_url,last_analyst_review_date,audit_trail_notes
177,177,,,Gap Analysis,,,,,
178,178,,,Gap Analysis,,,,,
179,179,,,Gap Analysis,,,,,
180,180,,,Gap Analysis,,,,,
181,181,,,Gap Analysis,,,,,
182,182,,,Gap Analysis,,,,,
183,183,,,Gap Analysis,,,,,
184,184,,,Gap Analysis,,,,,
185,185,,,Gap Analysis,,,,,
186,186,,,Gap Analysis,,,,,
187,187,,,Gap Analysis,,,,,
188,188,,,Gap Analysis,,,,,
189,189,,,Gap Analysis,,,,,
190,190,,,Gap Analysis,,,,,
191,191,,,Gap Analysis,,,,,
192,192,,,Gap Analysis,,,,,
193,193,,,Gap Analysis,,,,,
194,194,,,Gap Analysis,,,,,
195,195,,,Gap Analysis,,,,,
196,196,,,Gap Analysis,,,,,
197,197,,,Gap Analysis,,,,,
198,198,,,Gap Analysis,,,,,
199,199,,,Gap Analysis,,,,,
200,200,,,Gap Analysis,,,,,
201,201,,,Gap Analysis,,,,,
202,202,,,Gap Analysis,,,,,
203,203,,,Gap Analysis,,,,,
204,204,,,Gap Analysis,,,,,
205,205,,,Gap Analysis,,,,,
206,206,,,Gap Analysis,,,,,
207,207,,,Gap Analysis,,,,,
208,208,,,Gap Analysis,,,,,
209,209,,,Gap Analysis,,,,,
210,210,,,Gap Analysis,,,,,
211,211,,,Gap Analysis,,,,,
212,212,,,Gap Analysis,,,,,
213,213,,,Gap Analysis,,,,,
214,214,,,Gap Analysis,,,,,
215,215,,,Gap Analysis,,,,,
216,216,,,Gap Analysis,,,,,
217,217,,,Gap Analysis,,,,,
218,218,,,Gap Analysis,,,,,
219,219,,,Gap Analysis,,,,,
220,220,,,Gap Analysis,,,,,
221,221,,,Gap Analysis,,,,,
222,222,,,Gap Analysis,,,,,
223,223,,,Gap Analysis,,,,,
224,224,,,Gap Analysis,,,,,
225,225,,,Gap Analysis,,,,,
226,226,,,Gap Analysis,,,,,
227,227,,,Gap Analysis,,,,,
228,228,,,Gap Analysis,,,,,
229,229,,,Gap Analysis,,,,,
230,230,,,Gap Analysis,,,,,
231,231,,,Gap Analysis,,,,,
232,232,,,Gap Analysis,,,,,
233,233,,,Gap Analysis,,,,,
234,234,,,Gap Analysis,,,,,
235,235,,,Gap Analysis,,,,,
236,236,,,Gap Analysis,,,,,
237,237,,,Gap Analysis,,,,,
238,238,,,Gap Analysis,,,,,
239,239,,,Gap Analysis,,,,,
240,240,,,Gap Analysis,,,,,
241,241,,,Gap Analysis,,,,,
242,242,,,Gap Analysis,,,,,
243,243,,,Gap Analysis,,,,,
244,244,,,Gap Analysis,,,,,
